win,lose,probability
Atlanta Hawks,New York Knicks,0.7025381574272238
Oklahoma City Thunder,Indiana Pacers,0.7351406861469503
Toronto Raptors,Sacramento Kings,0.7612932671038487
Charlotte Hornets,Memphis Grizzlies,0.7427051817121968
Detroit Pistons,Houston Rockets,0.5492613969958202
Golden State Warriors,Indiana Pacers,0.8166893910603322
Toronto Raptors,Los Angeles Clippers,0.5009876267842459
Orlando Magic,Milwaukee Bucks,0.5074761744953811
Boston Celtics,Minnesota Timberwolves,0.7155065122734707
Miami Heat,Philadelphia 76ers,0.891482817859107
San Antonio Spurs,Dallas Mavericks,0.8503569263011845
Washington Wizards,Phoenix Suns,0.8159979582573499
Atlanta Hawks,New Orleans Pelicans,0.8120527585205833
Chicago Bulls,Denver Nuggets,0.5556676900706883
Oklahoma City Thunder,Los Angeles Lakers,0.9155451513779491
Portland Trail Blazers,New York Knicks,0.6586228870734143
Boston Celtics,Brooklyn Nets,0.8363369995010557
San Antonio Spurs,Charlotte Hornets,0.7332460727016494
Cleveland Cavaliers,Portland Trail Blazers,0.7777986594577367
Los Angeles Clippers,Dallas Mavericks,0.5954114756055483
Miami Heat,Detroit Pistons,0.5393411651448508
Golden State Warriors,Los Angeles Lakers,0.9743966283340808
Toronto Raptors,Houston Rockets,0.6434631408806831
Atlanta Hawks,Indiana Pacers,0.5129784563008645
New Orleans Pelicans,Minnesota Timberwolves,0.5291336827071378
Orlando Magic,Phoenix Suns,0.7520263744181063
Memphis Grizzlies,Philadelphia 76ers,0.7803778527688102
Oklahoma City Thunder,Sacramento Kings,0.8253269429234946
Utah Jazz,Denver Nuggets,0.7142149233286992
San Antonio Spurs,Boston Celtics,0.7307205397476499
Cleveland Cavaliers,Dallas Mavericks,0.8363151880000451
Oklahoma City Thunder,Denver Nuggets,0.8458217236504547
Los Angeles Clippers,Detroit Pistons,0.605026090508603
Indiana Pacers,Brooklyn Nets,0.8776052598299033
Golden State Warriors,Los Angeles Lakers,0.9555333702291647
Miami Heat,Memphis Grizzlies,0.6419848027456903
Toronto Raptors,Milwaukee Bucks,0.7981400692844848
Charlotte Hornets,New York Knicks,0.6982607190646418
Washington Wizards,Orlando Magic,0.5326001562045894
Chicago Bulls,Philadelphia 76ers,0.8140460972811598
Minnesota Timberwolves,Phoenix Suns,0.5571002997888003
Portland Trail Blazers,New Orleans Pelicans,0.8636593020358867
Houston Rockets,Sacramento Kings,0.586216005738917
Atlanta Hawks,Utah Jazz,0.5439851119407747
Charlotte Hornets,New York Knicks,0.8128594560037922
Golden State Warriors,Minnesota Timberwolves,0.9280799835814564
Miami Heat,Memphis Grizzlies,0.7574523588592682
Oklahoma City Thunder,Detroit Pistons,0.7721107131176619
San Antonio Spurs,Washington Wizards,0.8065630811474557
Sacramento Kings,Brooklyn Nets,0.6411481084152382
Dallas Mavericks,New Orleans Pelicans,0.7566330352798508
Los Angeles Clippers,Indiana Pacers,0.5571166298547583
Atlanta Hawks,Los Angeles Lakers,0.8355356726778332
Orlando Magic,Milwaukee Bucks,0.6428230821457873
Cleveland Cavaliers,Philadelphia 76ers,0.954491680378116
Denver Nuggets,Phoenix Suns,0.568273617104632
Portland Trail Blazers,Houston Rockets,0.7210086077940046
Golden State Warriors,Atlanta Hawks,0.8053092480020737
Charlotte Hornets,Memphis Grizzlies,0.6580965476480812
Miami Heat,Boston Celtics,0.5597108330301426
Utah Jazz,Minnesota Timberwolves,0.6073339355805407
Oklahoma City Thunder,New York Knicks,0.834427546756833
Toronto Raptors,Philadelphia 76ers,0.961259171951774
Washington Wizards,Sacramento Kings,0.6890106832688514
Los Angeles Clippers,Brooklyn Nets,0.8628679702472604
Charlotte Hornets,Detroit Pistons,0.6312354794420123
Cleveland Cavaliers,Milwaukee Bucks,0.8648247758031931
New Orleans Pelicans,Los Angeles Lakers,0.7682040573246287
San Antonio Spurs,Orlando Magic,0.8944415105652349
Utah Jazz,Houston Rockets,0.5671419251774311
Boston Celtics,Detroit Pistons,0.6342270133655028
Chicago Bulls,Los Angeles Lakers,0.8784555223367492
San Antonio Spurs,Dallas Mavericks,0.79425127972509
Miami Heat,Denver Nuggets,0.7012080587758835
Minnesota Timberwolves,New York Knicks,0.5951062585610647
Oklahoma City Thunder,Washington Wizards,0.7939421033479421
Atlanta Hawks,Phoenix Suns,0.7969195150548796
Portland Trail Blazers,Indiana Pacers,0.6704541431395782
Toronto Raptors,Memphis Grizzlies,0.8168930117009859
Milwaukee Bucks,Brooklyn Nets,0.6006549108131172
Charlotte Hornets,Dallas Mavericks,0.6706617342076472
Cleveland Cavaliers,Los Angeles Clippers,0.7053884060778735
Golden State Warriors,Houston Rockets,0.8660423435424395
Memphis Grizzlies,Orlando Magic,0.5756039584132184
Miami Heat,Utah Jazz,0.5212815897727878
Atlanta Hawks,Detroit Pistons,0.628789500795753
Boston Celtics,Sacramento Kings,0.7729505967011913
Cleveland Cavaliers,Chicago Bulls,0.7479074492341293
Houston Rockets,Denver Nuggets,0.6219138888475333
Los Angeles Clippers,New Orleans Pelicans,0.7682801103067867
New York Knicks,Minnesota Timberwolves,0.5691381244680968
Orlando Magic,Philadelphia 76ers,0.771576713659824
San Antonio Spurs,Washington Wizards,0.8445302993030517
Toronto Raptors,Los Angeles Lakers,0.9418812779072954
Charlotte Hornets,Minnesota Timberwolves,0.7804857566413211
Dallas Mavericks,Chicago Bulls,0.6252373746513258
Golden State Warriors,Phoenix Suns,0.9606534276058996
Memphis Grizzlies,Los Angeles Lakers,0.824055987870769
Milwaukee Bucks,Brooklyn Nets,0.7334120543081942
Boston Celtics,Philadelphia 76ers,0.8972138472417377
Portland Trail Blazers,Miami Heat,0.6443036370652925
Toronto Raptors,Atlanta Hawks,0.6378653127278404
Utah Jazz,Denver Nuggets,0.7142149233286992
Detroit Pistons,Orlando Magic,0.6750359422349412
Los Angeles Clippers,Indiana Pacers,0.6383610747836707
New York Knicks,Sacramento Kings,0.5552757348062224
Oklahoma City Thunder,New Orleans Pelicans,0.8962880762446775
Oklahoma City Thunder,Atlanta Hawks,0.6542258218550779
Washington Wizards,Brooklyn Nets,0.7551774039346243
Portland Trail Blazers,Chicago Bulls,0.5097850053545323
Charlotte Hornets,Dallas Mavericks,0.5469747965380436
Golden State Warriors,Indiana Pacers,0.8357829189654149
Boston Celtics,Houston Rockets,0.5486040089434363
Utah Jazz,Los Angeles Lakers,0.7518802550851473
San Antonio Spurs,Milwaukee Bucks,0.8958342712687078
Memphis Grizzlies,New Orleans Pelicans,0.5229228939561812
Denver Nuggets,Philadelphia 76ers,0.7511688563398571
Cleveland Cavaliers,Toronto Raptors,0.5695404824130098
Detroit Pistons,Chicago Bulls,0.6158023315992109
Memphis Grizzlies,Philadelphia 76ers,0.8776144738959492
Miami Heat,New York Knicks,0.8245356106762793
San Antonio Spurs,Minnesota Timberwolves,0.8903906625450403
Utah Jazz,Phoenix Suns,0.8318778016091523
Washington Wizards,Orlando Magic,0.6668638586264957
Atlanta Hawks,Miami Heat,0.5526726416833166
Denver Nuggets,Brooklyn Nets,0.6386326901396844
Charlotte Hornets,Detroit Pistons,0.6312354794420123
Dallas Mavericks,Sacramento Kings,0.7052832154462644
Houston Rockets,Los Angeles Lakers,0.8801335958948204
Golden State Warriors,Los Angeles Clippers,0.7467322135251895
Portland Trail Blazers,Milwaukee Bucks,0.6916014874923261
Cleveland Cavaliers,New York Knicks,0.8462518695197252
Boston Celtics,Orlando Magic,0.6537104492333354
Indiana Pacers,Phoenix Suns,0.7612937487501429
San Antonio Spurs,Chicago Bulls,0.7995205018758011
Portland Trail Blazers,Memphis Grizzlies,0.6160834909208213
New Orleans Pelicans,Philadelphia 76ers,0.835367580622059
Toronto Raptors,Minnesota Timberwolves,0.8460382394291069
Golden State Warriors,Utah Jazz,0.8345947481572011
Washington Wizards,Denver Nuggets,0.6913449110008878
Toronto Raptors,Boston Celtics,0.5550803491332289
Charlotte Hornets,Orlando Magic,0.7522615633812162
Cleveland Cavaliers,Miami Heat,0.7580195023142943
Indiana Pacers,Dallas Mavericks,0.5003684398053566
Los Angeles Lakers,Phoenix Suns,0.5374327139925943
Atlanta Hawks,Milwaukee Bucks,0.7329942169643644
Detroit Pistons,Minnesota Timberwolves,0.6332215363101207
Oklahoma City Thunder,Houston Rockets,0.7790421943525422
Sacramento Kings,New York Knicks,0.6325118656171796
Miami Heat,Chicago Bulls,0.5374738043454059
Cleveland Cavaliers,Charlotte Hornets,0.7447904477675085
Houston Rockets,Dallas Mavericks,0.5877919664842628
Indiana Pacers,Portland Trail Blazers,0.5375106190399008
Los Angeles Clippers,New Orleans Pelicans,0.8460615791530743
Golden State Warriors,Memphis Grizzlies,0.8925789793489645
Orlando Magic,Denver Nuggets,0.6050133160596926
San Antonio Spurs,Brooklyn Nets,0.9600303598177249
Utah Jazz,Sacramento Kings,0.7119815972255968
Washington Wizards,Milwaukee Bucks,0.7246517051936283
Detroit Pistons,Philadelphia 76ers,0.9165470092031771
New York Knicks,Los Angeles Lakers,0.5713670967763356
Golden State Warriors,Minnesota Timberwolves,0.9164440313731674
Oklahoma City Thunder,Boston Celtics,0.699317506677323
New Orleans Pelicans,Phoenix Suns,0.5060006815832282
Dallas Mavericks,Denver Nuggets,0.7075471467164314
Houston Rockets,Brooklyn Nets,0.8576962847121631
Charlotte Hornets,Indiana Pacers,0.5078845835897172
Los Angeles Clippers,Portland Trail Blazers,0.637179333668581
Miami Heat,Washington Wizards,0.6780428297308371
Sacramento Kings,Los Angeles Lakers,0.8060179042702601
Toronto Raptors,Milwaukee Bucks,0.8605290630886304
Atlanta Hawks,Orlando Magic,0.7503007916054835
Chicago Bulls,Minnesota Timberwolves,0.7101996565269216
Cleveland Cavaliers,Memphis Grizzlies,0.8786768926795088
Golden State Warriors,New Orleans Pelicans,0.9215238418115672
New York Knicks,Phoenix Suns,0.5073002347994058
Oklahoma City Thunder,Portland Trail Blazers,0.5634188949772679
Brooklyn Nets,Los Angeles Lakers,0.6358751848446246
Dallas Mavericks,Detroit Pistons,0.5493218742747711
Houston Rockets,Sacramento Kings,0.7017906861529571
Cleveland Cavaliers,Memphis Grizzlies,0.8207291441431318
Miami Heat,Indiana Pacers,0.6027176644619553
Los Angeles Clippers,Orlando Magic,0.6991985931383615
Toronto Raptors,Philadelphia 76ers,0.9283781411218792
San Antonio Spurs,Boston Celtics,0.76629836966472
Oklahoma City Thunder,Utah Jazz,0.7179508355273663
Charlotte Hornets,Washington Wizards,0.5659979876751424
Portland Trail Blazers,Denver Nuggets,0.6774385866487256
Golden State Warriors,New York Knicks,0.9403502383147416
Chicago Bulls,Milwaukee Bucks,0.5717976826625348
Indiana Pacers,New Orleans Pelicans,0.6929009492621538
San Antonio Spurs,Phoenix Suns,0.924774250647855
Boston Celtics,Charlotte Hornets,0.5409103229756038
Chicago Bulls,Milwaukee Bucks,0.7334474953489774
Houston Rockets,New Orleans Pelicans,0.7535363759186424
Memphis Grizzlies,Sacramento Kings,0.6001802755808577
Miami Heat,Los Angeles Clippers,0.5079726410060628
Orlando Magic,Brooklyn Nets,0.7950972743487571
Philadelphia 76ers,Los Angeles Lakers,0.5055208245275189
Toronto Raptors,Atlanta Hawks,0.6378653127278404
Utah Jazz,Dallas Mavericks,0.599656259467067
Washington Wizards,Detroit Pistons,0.5301744829208991
Atlanta Hawks,Charlotte Hornets,0.5351024404543255
Cleveland Cavaliers,Los Angeles Lakers,0.9633821315828643
Denver Nuggets,New York Knicks,0.5971664733982646
Indiana Pacers,Detroit Pistons,0.5103843740243494
Golden State Warriors,Portland Trail Blazers,0.8350796333825292
Houston Rockets,Minnesota Timberwolves,0.6239238995748837
Oklahoma City Thunder,Phoenix Suns,0.9301430129921766
Dallas Mavericks,Sacramento Kings,0.7052832154462644
Utah Jazz,Memphis Grizzlies,0.5395407733416204
Miami Heat,Boston Celtics,0.5597108330301426
Toronto Raptors,Orlando Magic,0.7370679506250696
Brooklyn Nets,Philadelphia 76ers,0.5437193786240109
San Antonio Spurs,New Orleans Pelicans,0.9241503143931858
Los Angeles Clippers,Washington Wizards,0.6138366888686495
Chicago Bulls,Detroit Pistons,0.5412498421548798
Dallas Mavericks,Denver Nuggets,0.5899711905479774
Indiana Pacers,Washington Wizards,0.618557614136275
Minnesota Timberwolves,Phoenix Suns,0.6947790422576898
Oklahoma City Thunder,Atlanta Hawks,0.692854267496719
Charlotte Hornets,Los Angeles Lakers,0.9129366485495796
Golden State Warriors,Utah Jazz,0.8739701786247558
San Antonio Spurs,Houston Rockets,0.796974211228956
Los Angeles Clippers,Denver Nuggets,0.8104953986502842
Boston Celtics,Memphis Grizzlies,0.6558050033629794
Miami Heat,Orlando Magic,0.7666331097094738
Cleveland Cavaliers,Milwaukee Bucks,0.8648247758031931
Indiana Pacers,New York Knicks,0.6574718295039854
New Orleans Pelicans,Philadelphia 76ers,0.7014157825637257
Portland Trail Blazers,Sacramento Kings,0.6439821041174757
Toronto Raptors,Brooklyn Nets,0.9300841012588534
Atlanta Hawks,Minnesota Timberwolves,0.7786826498350469
Chicago Bulls,Washington Wizards,0.5729654710094494
Cleveland Cavaliers,Milwaukee Bucks,0.9092254052864883
Detroit Pistons,Memphis Grizzlies,0.6638318403771739
Oklahoma City Thunder,New Orleans Pelicans,0.8555740517576411
Houston Rockets,Phoenix Suns,0.7151552203503193
Portland Trail Blazers,Dallas Mavericks,0.7471186362619016
Utah Jazz,Sacramento Kings,0.7119815972255968
Golden State Warriors,Brooklyn Nets,0.9570544056199178
Boston Celtics,Indiana Pacers,0.5053430065821027
San Antonio Spurs,Los Angeles Clippers,0.6858983337549505
Miami Heat,Los Angeles Lakers,0.9189910216983387
New York Knicks,Orlando Magic,0.5301002605998226
Oklahoma City Thunder,Boston Celtics,0.6489210369969818
Charlotte Hornets,Chicago Bulls,0.7008666282307964
Cleveland Cavaliers,Brooklyn Nets,0.9557442214189751
Atlanta Hawks,Denver Nuggets,0.7199625319832677
Golden State Warriors,Detroit Pistons,0.8443635797645083
Los Angeles Clippers,Dallas Mavericks,0.7193665244253109
Houston Rockets,Memphis Grizzlies,0.5569053013860462
Washington Wizards,Milwaukee Bucks,0.6164510072902567
Minnesota Timberwolves,Sacramento Kings,0.5321035547399079
Miami Heat,New Orleans Pelicans,0.7170476664372181
Orlando Magic,Los Angeles Lakers,0.8253953993313198
Phoenix Suns,Philadelphia 76ers,0.7821240974256043
San Antonio Spurs,Portland Trail Blazers,0.6545343189038086
Toronto Raptors,Utah Jazz,0.6321005909486086
Golden State Warriors,Cleveland Cavaliers,0.5966480592718304
Los Angeles Clippers,Los Angeles Lakers,0.858504257041406
Boston Celtics,New York Knicks,0.6961140638197754
Oklahoma City Thunder,Minnesota Timberwolves,0.8755825182351443
San Antonio Spurs,Chicago Bulls,0.8673411743634519
Charlotte Hornets,Brooklyn Nets,0.8377240285946719
Indiana Pacers,Chicago Bulls,0.5085065997097765
Cleveland Cavaliers,Detroit Pistons,0.7493214724001589
Houston Rockets,Phoenix Suns,0.8248857594139938
Los Angeles Clippers,Denver Nuggets,0.8104953986502842
Atlanta Hawks,Minnesota Timberwolves,0.7216845575069197
Dallas Mavericks,New Orleans Pelicans,0.6084146133572681
Orlando Magic,Memphis Grizzlies,0.5654681391054152
Portland Trail Blazers,Toronto Raptors,0.5344531850759565
Sacramento Kings,Philadelphia 76ers,0.8641621744189825
Washington Wizards,Milwaukee Bucks,0.7246517051936283
Boston Celtics,Memphis Grizzlies,0.7451575132915337
Dallas Mavericks,Houston Rockets,0.5591607233686304
Utah Jazz,Los Angeles Lakers,0.7518802550851473
Oklahoma City Thunder,Miami Heat,0.6337845738015568
Atlanta Hawks,New York Knicks,0.8112579627640348
Chicago Bulls,Brooklyn Nets,0.8557555788500577
Denver Nuggets,Minnesota Timberwolves,0.5482180819928161
Detroit Pistons,Milwaukee Bucks,0.7319759585894802
Golden State Warriors,Toronto Raptors,0.7417283977101823
Los Angeles Clippers,New Orleans Pelicans,0.7682801103067867
Charlotte Hornets,Orlando Magic,0.6560086238562414
Portland Trail Blazers,Sacramento Kings,0.8298123806166224
San Antonio Spurs,Phoenix Suns,0.9494233423957193
Indiana Pacers,Washington Wizards,0.5196299418793527
Charlotte Hornets,Miami Heat,0.5552654302641429
Cleveland Cavaliers,Boston Celtics,0.7467183626057682
Dallas Mavericks,Los Angeles Lakers,0.7398039571706096
Oklahoma City Thunder,Memphis Grizzlies,0.8073887039487604
Toronto Raptors,Phoenix Suns,0.849667281568853
Utah Jazz,Philadelphia 76ers,0.9219285047423267
Atlanta Hawks,Detroit Pistons,0.628789500795753
Boston Celtics,Miami Heat,0.5584421517971905
Denver Nuggets,Philadelphia 76ers,0.8456605083612748
Golden State Warriors,Dallas Mavericks,0.8808226343414158
Los Angeles Clippers,Houston Rockets,0.5994387729569769
Indiana Pacers,Chicago Bulls,0.6612237817293686
